	MT2.141698	CA1.141704	BB2.141659	CO2.141657	TL3.141709	SN3.141650	SK2.141662	CR1.141682	CF3.141691	BZ1.141724	TL1.141653	GB3.141652	CM1.141723	CL1.141697	HF1.141663	PE7.141734	HF2.141686	GB2.141732	CF1.141675	IE2.141655	PE1.141715	MP2.141695	SN1.141681	DF3.141696	BP1.141702	SR1.141680	SP1.141656	LQ2.141729	VC2.141694	HJ1.141718	KP3.141658	HJ2.141717	SK3.141716	PE6.141700	PE4.141683	SK1.141669	MP1.141661	BF2.141708	BF1.141647	AR3.141705	CF2.141679	SA1.141670	LQ3.141712	AR1.141727	SR3.141674	MT1.141719	IT2.141720	CL3.141664	SF1.141728	SP2.141678	IE1.141648	MD2.141689	KP1.141713	PE5.141692	TL2.141706	HI4.141735	SB1.141730	HI3.141676	CL4.141667	PE3.141731	CO1.141714	RT1.141654	RT2.141710	KP4.141733	DF1.141684	CL2.141671	MD5.141688	IT1.141711	AR2.141703	CO3.141651	HI2.141672	DF2.141726	JT1.141699	GB1.141665	CC1.141721	SF2.141677	VC1.141722
MT2.141698	0.0	0.61	2.06	0.98	2.43	0.92	0.48	1.34	3.1	1.54	2.08	0.52	1.19	0.98	2.41	1.15	2.68	0.91	2.74	1.14	2.54	2.28	1.71	1.61	0.87	0.18	0.41	1.63	0.67	1.25	1.26	1.3	0.83	2.54	2.56	1.21	2.1	3.05	2.61	0.76	3.03	0.24	1.99	0.86	0.29	0.91	1.24	1.77	1.05	1.53	1.39	0.99	0.29	3.09	0.19	1.74	1.26	0.13	1.63	2.41	0.53	1.26	1.41	0.44	1.29	1.09	1.41	0.88	0.66	0.64	0.34	0.18	0.94	0.18	0.6	1.72	1.11
CA1.141704	0.61	0.0	2.67	1.59	3.04	1.53	1.09	0.73	3.71	2.15	2.69	0.09	0.58	1.59	3.02	1.76	3.29	0.3	3.35	1.75	3.15	2.89	2.32	2.22	0.26	0.43	1.02	2.24	1.28	1.86	0.65	1.91	1.44	3.15	3.17	1.82	2.71	3.66	3.22	1.37	3.64	0.37	2.6	1.47	0.32	0.3	1.85	2.38	0.44	2.14	2.0	0.38	0.9	3.7	0.8	2.35	0.65	0.74	2.24	3.02	1.14	0.65	0.8	0.17	1.9	1.7	0.8	1.49	1.27	1.25	0.95	0.43	0.33	0.43	1.21	1.11	1.72
BB2.141659	2.06	2.67	0.0	1.08	0.37	1.14	1.58	3.4	1.04	0.52	0.02	2.58	3.25	1.08	0.35	0.91	0.62	2.97	0.68	0.92	0.48	0.22	0.35	0.45	2.93	2.24	1.65	0.43	1.39	0.81	3.32	0.76	1.23	0.48	0.5	0.85	0.04	0.99	0.55	1.3	0.97	2.3	0.07	1.2	2.35	2.97	0.82	0.29	3.11	0.53	0.67	3.05	1.77	1.03	1.87	0.32	3.32	1.93	0.43	0.35	1.53	3.32	3.47	2.5	0.77	0.97	3.47	1.18	1.4	1.42	1.72	2.24	3.0	2.24	1.46	3.78	0.95
CO2.141657	0.98	1.59	1.08	0.0	1.45	0.06	0.5	2.32	2.12	0.56	1.1	1.5	2.17	0.0	1.43	0.17	1.7	1.89	1.76	0.16	1.56	1.3	0.73	0.63	1.85	1.16	0.57	0.65	0.31	0.27	2.24	0.32	0.15	1.56	1.58	0.23	1.12	2.07	1.63	0.22	2.05	1.22	1.01	0.12	1.27	1.89	0.26	0.79	2.03	0.55	0.41	1.97	0.69	2.11	0.79	0.76	2.24	0.85	0.65	1.43	0.45	2.24	2.39	1.42	0.31	0.11	2.39	0.1	0.32	0.34	0.64	1.16	1.92	1.16	0.38	2.7	0.13
TL3.141709	2.43	3.04	0.37	1.45	0.0	1.51	1.95	3.77	0.67	0.89	0.35	2.95	3.62	1.45	0.02	1.28	0.25	3.34	0.31	1.29	0.11	0.15	0.72	0.82	3.3	2.61	2.02	0.8	1.76	1.18	3.69	1.13	1.6	0.11	0.13	1.22	0.33	0.62	0.18	1.67	0.6	2.67	0.44	1.57	2.72	3.34	1.19	0.66	3.48	0.9	1.04	3.42	2.14	0.66	2.24	0.69	3.69	2.3	0.8	0.02	1.9	3.69	3.84	2.87	1.14	1.34	3.84	1.55	1.77	1.79	2.09	2.61	3.37	2.61	1.83	4.15	1.32
SN3.141650	0.92	1.53	1.14	0.06	1.51	0.0	0.44	2.26	2.18	0.62	1.16	1.44	2.11	0.06	1.49	0.23	1.76	1.83	1.82	0.22	1.62	1.36	0.79	0.69	1.79	1.1	0.51	0.71	0.25	0.33	2.18	0.38	0.09	1.62	1.64	0.29	1.18	2.13	1.69	0.16	2.11	1.16	1.07	0.06	1.21	1.83	0.32	0.85	1.97	0.61	0.47	1.91	0.63	2.17	0.73	0.82	2.18	0.79	0.71	1.49	0.39	2.18	2.33	1.36	0.37	0.17	2.33	0.04	0.26	0.28	0.58	1.1	1.86	1.1	0.32	2.64	0.19
SK2.141662	0.48	1.09	1.58	0.5	1.95	0.44	0.0	1.82	2.62	1.06	1.6	1.0	1.67	0.5	1.93	0.67	2.2	1.39	2.26	0.66	2.06	1.8	1.23	1.13	1.35	0.66	0.07	1.15	0.19	0.77	1.74	0.82	0.35	2.06	2.08	0.73	1.62	2.57	2.13	0.28	2.55	0.72	1.51	0.38	0.77	1.39	0.76	1.29	1.53	1.05	0.91	1.47	0.19	2.61	0.29	1.26	1.74	0.35	1.15	1.93	0.05	1.74	1.89	0.92	0.81	0.61	1.89	0.4	0.18	0.16	0.14	0.66	1.42	0.66	0.12	2.2	0.63
CR1.141682	1.34	0.73	3.4	2.32	3.77	2.26	1.82	0.0	4.44	2.88	3.42	0.82	0.15	2.32	3.75	2.49	4.02	0.43	4.08	2.48	3.88	3.62	3.05	2.95	0.47	1.16	1.75	2.97	2.01	2.59	0.08	2.64	2.17	3.88	3.9	2.55	3.44	4.39	3.95	2.1	4.37	1.1	3.33	2.2	1.05	0.43	2.58	3.11	0.29	2.87	2.73	0.35	1.63	4.43	1.53	3.08	0.08	1.47	2.97	3.75	1.87	0.08	0.07	0.9	2.63	2.43	0.07	2.22	2.0	1.98	1.68	1.16	0.4	1.16	1.94	0.38	2.45
CF3.141691	3.1	3.71	1.04	2.12	0.67	2.18	2.62	4.44	0.0	1.56	1.02	3.62	4.29	2.12	0.69	1.95	0.42	4.01	0.36	1.96	0.56	0.82	1.39	1.49	3.97	3.28	2.69	1.47	2.43	1.85	4.36	1.8	2.27	0.56	0.54	1.89	1.0	0.05	0.49	2.34	0.07	3.34	1.11	2.24	3.39	4.01	1.86	1.33	4.15	1.57	1.71	4.09	2.81	0.01	2.91	1.36	4.36	2.97	1.47	0.69	2.57	4.36	4.51	3.54	1.81	2.01	4.51	2.22	2.44	2.46	2.76	3.28	4.04	3.28	2.5	4.82	1.99
BZ1.141724	1.54	2.15	0.52	0.56	0.89	0.62	1.06	2.88	1.56	0.0	0.54	2.06	2.73	0.56	0.87	0.39	1.14	2.45	1.2	0.4	1.0	0.74	0.17	0.07	2.41	1.72	1.13	0.09	0.87	0.29	2.8	0.24	0.71	1.0	1.02	0.33	0.56	1.51	1.07	0.78	1.49	1.78	0.45	0.68	1.83	2.45	0.3	0.23	2.59	0.01	0.15	2.53	1.25	1.55	1.35	0.2	2.8	1.41	0.09	0.87	1.01	2.8	2.95	1.98	0.25	0.45	2.95	0.66	0.88	0.9	1.2	1.72	2.48	1.72	0.94	3.26	0.43
