	MT2.141698	CA1.141704	BB2.141659	CO2.141657	TL3.141709	SN3.141650	SK2.141662	CR1.141682	CF3.141691	BZ1.141724	TL1.141653	GB3.141652	CM1.141723	CL1.141697	HF1.141663	PE7.141734	HF2.141686	GB2.141732	CF1.141675	IE2.141655	PE1.141715	MP2.141695	SN1.141681	DF3.141696	BP1.141702	SR1.141680	SP1.141656	LQ2.141729	VC2.141694	HJ1.141718	KP3.141658	HJ2.141717	SK3.141716	PE6.141700	PE4.141683	SK1.141669	MP1.141661	BF2.141708	BF1.141647	AR3.141705	CF2.141679	SA1.141670	LQ3.141712	AR1.141727	SR3.141674	MT1.141719	IT2.141720	CL3.141664	SF1.141728	SP2.141678	IE1.141648	MD2.141689	KP1.141713	PE5.141692	TL2.141706	HI4.141735	SB1.141730	HI3.141676	CL4.141667	PE3.141731	CO1.141714	RT1.141654	RT2.141710	KP4.141733	DF1.141684	CL2.141671	MD5.141688	IT1.141711	AR2.141703	CO3.141651	HI2.141672	DF2.141726	JT1.141699	GB1.141665	CC1.141721	SF2.141677	VC1.141722
MT2.141698	0.0	0.623818643706	0.750015427505	0.585201193913	0.729023583672	0.622135587669	0.668256792393	0.703994349557	0.786047780681	0.612187296937	0.769487434742	0.591410424311	0.709613476067	0.629049384807	0.721074140996	0.715191246935	0.767502371359	0.644795557007	0.749027796836	0.555610352532	0.76853778717	0.690142042235	0.658718564849	0.673873081997	0.603926305277	0.603690906043	0.607615011168	0.777108180657	0.57577227004	0.688138971514	0.663542767003	0.623242849168	0.632011521017	0.751679524483	0.817835417394	0.607379183764	0.679906170593	0.744182741901	0.736102171794	0.670031653963	0.803759950777	0.61971748908	0.770715603288	0.712475366399	0.641722811563	0.645955243723	0.583912007245	0.648527747869	0.687676734791	0.682971477409	0.622023005007	0.723535914622	0.597228595026	0.803303765392	0.647359717997	0.720703380974	0.706339239166	0.638908047574	0.6443241919	0.769707465284	0.546832634952	0.705303054667	0.678104097684	0.635937466032	0.607990632311	0.637999693901	0.738824858265	0.548425685134	0.690234895061	0.623341372459	0.671669758744	0.642377326541	0.752353863378	0.670346817108	0.609777891382	0.737154702017	0.588651090598
CA1.141704	0.623818643706	0.0	0.774881224555	0.649822398416	0.777203137034	0.629507320436	0.6722939709	0.614588775939	0.842095590482	0.708551620453	0.798438207914	0.580478560492	0.640915542407	0.693549627243	0.788984885041	0.70375539781	0.827044333011	0.569223865187	0.786882590462	0.65414621815	0.81336991845	0.745029809238	0.71339137038	0.75347834544	0.553323273329	0.52957453368	0.604920778591	0.802640337394	0.579967003341	0.743482399334	0.587473518831	0.683384968584	0.702669746108	0.775906646561	0.86325477776	0.722982024321	0.736098269083	0.800180639588	0.765021815718	0.662490111275	0.840961160886	0.566347349084	0.796226538542	0.668118689859	0.543687797334	0.65567574153	0.683001085923	0.707301346348	0.565969760321	0.739885440294	0.693267081857	0.637671652884	0.596434239539	0.83327983806	0.679743032623	0.775090463044	0.576760648687	0.662346749041	0.676048009394	0.807048337104	0.637573572102	0.599168960117	0.612783323055	0.629320898255	0.721391963299	0.675117883821	0.715967174464	0.665958508644	0.660719875497	0.581433893612	0.670928019474	0.669792687859	0.653847812742	0.567841062562	0.665731742138	0.595747465464	0.671197554195
BB2.141659	0.750015427505	0.774881224555	0.0	0.688845424001	0.567470311282	0.721707516043	0.705143323575	0.76595871574	0.643365315885	0.595242839005	0.685469777702	0.740634119429	0.79468225983	0.670028688676	0.571543646161	0.718246377778	0.678450758521	0.781289134172	0.522018264444	0.70957793135	0.640873171371	0.558858931696	0.681663593599	0.58838276397	0.768641001292	0.753265234783	0.766102842505	0.619322658068	0.704018513988	0.540086395629	0.777554878874	0.616521494216	0.611017098633	0.636939695774	0.67141656164	0.608077072754	0.541209509056	0.653665417666	0.508032893061	0.71828613118	0.606265271293	0.752660752964	0.621618119676	0.701906173162	0.790890375961	0.76603356742	0.681721380256	0.708998847157	0.769406110173	0.604862644275	0.689715210709	0.818938895137	0.741045611673	0.648461852604	0.665980960033	0.635563165611	0.800028717498	0.768874565756	0.761089651005	0.597548688229	0.731064936463	0.808249101673	0.781920585422	0.76241309006	0.67286479688	0.746081985598	0.79954133926	0.73982117076	0.742137573494	0.708413963655	0.736115189102	0.786326471624	0.818384242021	0.767096231977	0.700165269238	0.785020811472	0.718446940153
CO2.141657	0.585201193913	0.649822398416	0.688845424001	0.0	0.658853575764	0.661223617505	0.66170676404	0.728373887302	0.732477815021	0.545238070325	0.717564263897	0.598279486436	0.761214081797	0.601389031051	0.691865082423	0.73233350024	0.732619421176	0.701836491614	0.696716953057	0.59059631977	0.743099932677	0.649708301125	0.645416627586	0.647237514114	0.662551151901	0.682995313099	0.656470525567	0.736405770513	0.610758907791	0.618605574788	0.709889453115	0.621399555785	0.595896219305	0.71525758303	0.776624616573	0.528568528421	0.632797877948	0.69266820974	0.688437745152	0.721955284104	0.766005696186	0.656289077199	0.745034444428	0.70619979866	0.693273696618	0.704242670971	0.55808440019	0.62661983271	0.695293729244	0.68122573884	0.65564993398	0.747295821136	0.668552383079	0.76394878127	0.640041649867	0.718011947538	0.704036627445	0.671351261779	0.692660220365	0.733050747348	0.585305790179	0.733966792877	0.73373074596	0.698554724994	0.608903820701	0.696367957657	0.792310092255	0.655139375455	0.704495945368	0.623484681354	0.67809084277	0.685237160733	0.773875167028	0.690232065423	0.668031962983	0.753242643824	0.601801735613
TL3.141709	0.729023583672	0.777203137034	0.567470311282	0.658853575764	0.0	0.711173405838	0.73362014026	0.808351737115	0.586212125883	0.608319379363	0.675683974058	0.756368475035	0.825228167864	0.64739935529	0.567001172179	0.769717122518	0.58871135846	0.805975491153	0.579663232333	0.720331012092	0.641042528472	0.550400215536	0.616504467109	0.588381964601	0.77981565934	0.790885843025	0.765735331514	0.625918000388	0.749081703426	0.567503029835	0.788296926825	0.646386009771	0.633721756851	0.664265688274	0.635726005352	0.57670030508	0.533818457742	0.585937336917	0.510037460577	0.764396592886	0.608861245261	0.765749740565	0.619497847302	0.772293747078	0.764760101777	0.787549599612	0.667441524306	0.687684816218	0.78422576669	0.635952082171	0.712290835112	0.80853305907	0.76405875267	0.671944961277	0.752307545365	0.619078661969	0.791532222762	0.771067558396	0.74999317896	0.61156139431	0.719160929105	0.814998928486	0.826718796767	0.797804375037	0.650454065503	0.721222539981	0.817424271206	0.723908981063	0.781921965883	0.723718756003	0.734737633488	0.801966385617	0.796882477114	0.77367457977	0.758991794371	0.799504997506	0.682113381651
SN3.141650	0.622135587669	0.629507320436	0.721707516043	0.661223617505	0.711173405838	0.0	0.738816718122	0.712980803821	0.79985628947	0.658093719761	0.774539112221	0.655578712697	0.728754010791	0.70056615561	0.728669039614	0.751220191121	0.780333122622	0.668365512637	0.725871280208	0.643284700643	0.780826084231	0.693052511909	0.613442470814	0.679043739677	0.657380763755	0.648543660498	0.632911670833	0.752321955101	0.604033537867	0.696353224902	0.732790459322	0.64754038115	0.644376395465	0.774038168885	0.836479246297	0.64306140939	0.679931955873	0.750036767312	0.700097437339	0.724665484603	0.801108189358	0.609774282532	0.754953315608	0.735421184924	0.627103475811	0.708192384398	0.637818479996	0.689747335992	0.666795186978	0.650653881736	0.674804751256	0.696455055448	0.661804813596	0.805208784579	0.679258975892	0.739613719702	0.656384616331	0.721631383427	0.682357096471	0.775206075613	0.583395837553	0.721221937391	0.713484539768	0.672895430534	0.664343413011	0.650212530452	0.691903513905	0.675478804783	0.716189347385	0.582434706507	0.666943040651	0.736487138632	0.711989539737	0.657197182074	0.684204908076	0.70934719852	0.624771923722
SK2.141662	0.668256792393	0.6722939709	0.705143323575	0.66170676404	0.73362014026	0.738816718122	0.0	0.728524716583	0.810933668792	0.656916765367	0.712868142744	0.630544350439	0.755106256727	0.661513786207	0.754263677937	0.701019563194	0.781126856237	0.689677438939	0.751956735488	0.663040813214	0.765461511711	0.729397231924	0.747940957667	0.713956216978	0.688432939639	0.697419269967	0.702937930236	0.769307905765	0.654658754186	0.68503004028	0.707654129861	0.612926293276	0.65212169992	0.740232911763	0.822723650641	0.703462474396	0.704636770947	0.785118930935	0.716680242446	0.676689895403	0.788896606585	0.69037471468	0.766158846178	0.68670502327	0.71450910672	0.667975373909	0.676232418577	0.683578088424	0.731237130046	0.684569076911	0.659162166258	0.782428796676	0.703907514435	0.813707296114	0.637420913402	0.736712006573	0.75117102601	0.679907452324	0.69089451173	0.776356026885	0.65227643493	0.745576110269	0.737030688806	0.686610786516	0.687532341886	0.7003369697	0.814836906133	0.676179248479	0.700972685423	0.717119644081	0.714342757526	0.661501417319	0.778601535656	0.686693373598	0.648546682204	0.771049735165	0.690445234615
CR1.141682	0.703994349557	0.614588775939	0.76595871574	0.728373887302	0.808351737115	0.712980803821	0.728524716583	0.0	0.845293638054	0.76177352303	0.82014005904	0.658133401062	0.601700808453	0.690370156721	0.790306409885	0.700966077311	0.850246139602	0.625727432574	0.794519808378	0.698676332715	0.831438161462	0.797302761924	0.77590059984	0.772761841083	0.605036445984	0.605885899244	0.677799772269	0.801247727397	0.673382049741	0.767797332075	0.536728272817	0.74312117711	0.74571813544	0.784636321541	0.87108212415	0.756279075437	0.770422918581	0.829908416317	0.791083557062	0.628341781312	0.862400311455	0.706580270641	0.790859532801	0.650694208159	0.665544509953	0.674236766559	0.719568105178	0.703997081178	0.626752248819	0.778987932088	0.72479217335	0.723512327316	0.625021846457	0.842564758581	0.661574683884	0.773898770169	0.63293870621	0.643539930067	0.700961493152	0.802393273495	0.733469029254	0.537889349203	0.527161449773	0.600728279608	0.763277565399	0.701155572482	0.762485955375	0.69612741529	0.645291792422	0.665543803056	0.69147359606	0.668847840365	0.738399655504	0.650475942673	0.66805566232	0.624241143297	0.730467014239
CF3.141691	0.786047780681	0.842095590482	0.643365315885	0.732477815021	0.586212125883	0.79985628947	0.810933668792	0.845293638054	0.0	0.67239725728	0.745870954948	0.80984431734	0.867480801871	0.687404018104	0.608612545888	0.782978175433	0.404293230402	0.854508275848	0.57177793702	0.780988153846	0.576543195686	0.63083311634	0.723563060875	0.64767966436	0.827671383787	0.845628676956	0.815576385655	0.678138129843	0.791226362486	0.669750865313	0.823862263206	0.715264498007	0.710669813497	0.619115378775	0.568630480183	0.646164226949	0.612504059396	0.524114758714	0.617288418235	0.827098036714	0.449751627963	0.817561146937	0.661491011802	0.820951397538	0.85812596747	0.84320770709	0.752662128159	0.732455666288	0.85492217949	0.741339805109	0.769767498529	0.862014307741	0.834156019621	0.612575582001	0.789334747091	0.651922888022	0.861968388955	0.80283326056	0.789219036043	0.573207041434	0.812050024848	0.853244323975	0.857203031184	0.847122408299	0.69450430974	0.800394500359	0.843486639159	0.800571214689	0.830337056743	0.783679578591	0.791870115043	0.837353308693	0.870279633397	0.834785113291	0.810440340012	0.864416339298	0.75125224341
BZ1.141724	0.612187296937	0.708551620453	0.595242839005	0.545238070325	0.608319379363	0.658093719761	0.656916765367	0.76177352303	0.67239725728	0.0	0.675647956966	0.655190021405	0.764234273184	0.59506762636	0.617670646302	0.708848404934	0.664310927521	0.724021788604	0.61825148623	0.577550597127	0.637588955394	0.541673731551	0.612798112952	0.591555826248	0.695797327827	0.699487954656	0.679578148387	0.68866323918	0.633761221263	0.584810403246	0.74949163458	0.58316582145	0.420685619994	0.673783803603	0.706860874112	0.487157866248	0.559232377906	0.644291399574	0.584410372279	0.724806628815	0.680689067641	0.698242359678	0.716720996772	0.708002335244	0.722913973058	0.722947304087	0.557596604974	0.643488637046	0.752590609161	0.567070095581	0.642059250513	0.764543141499	0.695091607803	0.715119295022	0.654492876306	0.670944896276	0.748081777992	0.711526869785	0.686347257979	0.639350987083	0.59212958457	0.766402038294	0.753406179634	0.714516275157	0.583807556924	0.668911338179	0.763287857905	0.663875272829	0.729339221593	0.636383707513	0.6658091029	0.699866137759	0.791555904325	0.715646472106	0.641767345998	0.795638493426	0.546033575778
