	MT2.141698	CA1.141704	BB2.141659	CO2.141657	TL3.141709	SN3.141650	SK2.141662	CR1.141682	CF3.141691	BZ1.141724	TL1.141653	GB3.141652	CM1.141723	CL1.141697	HF1.141663	PE7.141734	HF2.141686	GB2.141732	CF1.141675	IE2.141655	PE1.141715	MP2.141695	SN1.141681	DF3.141696	BP1.141702	SR1.141680	SP1.141656	LQ2.141729	VC2.141694	HJ1.141718	KP3.141658	HJ2.141717	SK3.141716	PE6.141700	PE4.141683	SK1.141669	MP1.141661	BF2.141708	BF1.141647	AR3.141705	CF2.141679	SA1.141670	LQ3.141712	AR1.141727	SR3.141674	MT1.141719	IT2.141720	CL3.141664	SF1.141728	SP2.141678	IE1.141648	MD2.141689	KP1.141713	PE5.141692	TL2.141706	HI4.141735	SB1.141730	HI3.141676	CL4.141667	PE3.141731	CO1.141714	RT1.141654	RT2.141710	KP4.141733	DF1.141684	CL2.141671	MD5.141688	IT1.141711	AR2.141703	CO3.141651	HI2.141672	DF2.141726	JT1.141699	GB1.141665	CC1.141721	SF2.141677	VC1.141722
MT2.141698	0.0	0.2879595	0.40242906	0.19076806	0.34252778	0.21054574	0.23563472	0.29704444	0.49825922	0.2545144	0.34705746	0.25282302	0.30274162	0.25265484	0.39024288	0.24589786	0.43272446	0.2528265	0.44932836	0.19032022	0.35574756	0.32053198	0.27940544	0.28403072	0.30532118	0.2434453	0.19295024	0.37662166	0.25130486	0.27777824	0.31596306	0.26717402	0.22364118	0.36435482	0.38376476	0.21629634	0.28188034	0.4023918	0.37145914	0.30270292	0.46922272	0.21762072	0.3853529	0.3021374	0.21398084	0.20977056	0.1388103	0.26076478	0.29489212	0.31101242	0.16755754	0.31179302	0.23401642	0.37513946	0.26608922	0.33971516	0.2625362	0.26367058	0.20336328	0.3904318	0.15281998	0.31550612	0.3035255	0.23766948	0.22184772	0.23131252	0.38028752	0.200329	0.26926204	0.30365002	0.31082956	0.18362136	0.27563112	0.25634882	0.1648179	0.32267468	0.19168002
CA1.141704	0.2879595	0.0	0.43482784	0.2407702	0.40339488	0.25543684	0.2857459	0.1932801	0.50776736	0.3535651	0.39813132	0.2100052	0.22301128	0.3617437	0.43641538	0.36319364	0.46465556	0.18611708	0.45935854	0.2564174	0.43995622	0.3839024	0.33237802	0.3839339	0.19932052	0.17650504	0.20352518	0.42831396	0.19960672	0.3955513	0.21457516	0.35694948	0.35587332	0.41568264	0.45832946	0.35968648	0.38305308	0.44956106	0.42635656	0.2836151	0.47972494	0.23736914	0.4477752	0.31401362	0.26381746	0.22262778	0.30795472	0.34420104	0.19416134	0.36951488	0.33760996	0.35204348	0.18696552	0.45078664	0.25490152	0.41803142	0.27389574	0.33518972	0.32013306	0.45086322	0.26145624	0.25245878	0.23055256	0.2267557	0.36910762	0.3044305	0.4248837	0.30291462	0.27695602	0.226596	0.37547574	0.30223954	0.35134334	0.2049124	0.26218	0.28127218	0.30068692
BB2.141659	0.40242906	0.43482784	0.0	0.3391406	0.21261704	0.39334552	0.3492343	0.39335938	0.19938816	0.2594267	0.33999308	0.36307528	0.401281	0.25003122	0.15636082	0.34773572	0.18769972	0.42821164	0.14520426	0.37988288	0.19057734	0.19663532	0.3156295	0.2410299	0.3761336	0.37611724	0.38054674	0.16604924	0.37411268	0.26878686	0.38012372	0.23216768	0.29836068	0.18352476	0.18677426	0.32695832	0.2626398	0.18891198	0.16397012	0.3582971	0.17533454	0.42851778	0.1745174	0.39909654	0.45186246	0.40922282	0.37569628	0.2615824	0.3932213	0.20031812	0.38730212	0.48563224	0.41583384	0.21930624	0.36201632	0.20115258	0.44785018	0.4338202	0.37567222	0.1731919	0.41482108	0.39475338	0.36938492	0.41515718	0.33059554	0.34876966	0.50430626	0.45183326	0.37004786	0.38134196	0.39341906	0.4192761	0.4914851	0.45382344	0.36725244	0.4378931	0.40003148
CO2.141657	0.19076806	0.2407702	0.3391406	0.0	0.2667364	0.20846412	0.20947582	0.2402485	0.43227756	0.19939214	0.3117304	0.19033932	0.2566698	0.2201033	0.31134726	0.2786808	0.36095644	0.22969632	0.38112434	0.20248584	0.30997226	0.24188668	0.21291094	0.2310069	0.25007392	0.19312308	0.17447458	0.32010088	0.19417224	0.23362746	0.25460192	0.2432306	0.21685932	0.30426556	0.33553726	0.1896978	0.25098632	0.3274113	0.30785584	0.26586662	0.40227426	0.22533686	0.34244224	0.28527206	0.2598053	0.2254523	0.17823176	0.20617404	0.22402878	0.26125796	0.23384384	0.34538236	0.22951424	0.33412428	0.22871232	0.30414654	0.27114046	0.27520296	0.22373162	0.3407733	0.18476524	0.27100802	0.24361912	0.24537786	0.22442266	0.20852626	0.40496162	0.26026334	0.2439619	0.23511904	0.3114449	0.24021958	0.3355327	0.25997352	0.1877848	0.29502258	0.18554036
TL3.141709	0.34252778	0.40339488	0.21261704	0.2667364	0.0	0.33963412	0.32685558	0.3672781	0.26430004	0.18264342	0.33945352	0.32109668	0.36531556	0.21037542	0.13733182	0.3370598	0.16821912	0.38286448	0.21193498	0.32758892	0.16037854	0.10162084	0.23119238	0.17535582	0.34403144	0.34353208	0.33252086	0.17411244	0.34545304	0.24748302	0.3424294	0.1980456	0.24227448	0.18755376	0.15175314	0.23144388	0.19554116	0.14739282	0.1260774	0.33766794	0.23613054	0.37989286	0.17445344	0.36786618	0.40267386	0.3715499	0.31406016	0.19491332	0.35069586	0.19389416	0.34092684	0.42926	0.36718084	0.16660664	0.34375004	0.17326774	0.39697238	0.381412	0.32272306	0.16561862	0.36130364	0.36269918	0.34045504	0.37781086	0.26361806	0.29140746	0.46587846	0.40070278	0.33740298	0.35176496	0.37323046	0.37745078	0.43656706	0.42099816	0.3293556	0.39098186	0.34001996
SN3.141650	0.21054574	0.25543684	0.39334552	0.20846412	0.33963412	0.0	0.27847982	0.27125038	0.48966188	0.2869087	0.35871104	0.2663262	0.29874892	0.31609538	0.37829198	0.31803464	0.42147124	0.2014028	0.42908646	0.20163288	0.38274758	0.3245814	0.23436494	0.30935702	0.29178372	0.23471576	0.2002287	0.36832576	0.23145844	0.32752922	0.30862868	0.30460372	0.27351044	0.37585636	0.4001115	0.26893476	0.31582916	0.38857574	0.36596248	0.30263058	0.46025702	0.1767119	0.396381	0.30161262	0.21056434	0.24968118	0.21564412	0.27576328	0.26664678	0.30729372	0.2608984	0.28621056	0.2157154	0.3949488	0.2973524	0.36030606	0.2396877	0.29107668	0.23382334	0.39513974	0.1718156	0.28794322	0.30000732	0.22622578	0.2842365	0.22759234	0.34859598	0.27810182	0.27996938	0.26030844	0.3029249	0.28005534	0.28007646	0.21547932	0.21883624	0.28630198	0.20488316
SK2.141662	0.23563472	0.2857459	0.3492343	0.20947582	0.32685558	0.27847982	0.0	0.27863528	0.46086066	0.25753412	0.28265858	0.22273322	0.28284622	0.26977884	0.36330448	0.23551062	0.39381374	0.26594346	0.40256084	0.24661334	0.33861792	0.30573214	0.29878692	0.3062388	0.2976999	0.24111194	0.23090932	0.34760298	0.2502661	0.30204552	0.27416362	0.25790234	0.23776058	0.33283282	0.37168456	0.28071654	0.28664134	0.3703106	0.33851322	0.23343972	0.4261888	0.2797132	0.36266602	0.24918512	0.27688616	0.22004064	0.25087702	0.2559141	0.27407496	0.26423974	0.24943054	0.36462886	0.27781226	0.36773138	0.18380294	0.33012268	0.30570252	0.28853442	0.2660072	0.36992752	0.23855694	0.26907784	0.25743242	0.26504664	0.26110188	0.23630544	0.39813932	0.27999928	0.22893752	0.2877791	0.32503316	0.24123512	0.34747724	0.28843102	0.20572226	0.31036352	0.24877842
CR1.141682	0.29704444	0.1932801	0.39335938	0.2402485	0.3672781	0.27125038	0.27863528	0.0	0.47035942	0.3292588	0.3934513	0.19102994	0.13185886	0.3263732	0.3919516	0.33532406	0.42689662	0.20484362	0.42277772	0.2857595	0.40325292	0.35054818	0.32359176	0.34517496	0.16642578	0.16742682	0.22312052	0.38180442	0.18669662	0.36930228	0.12789802	0.33141174	0.34274554	0.3799525	0.41725204	0.35274046	0.3533441	0.40622032	0.39234806	0.19665436	0.44596856	0.26999304	0.39935614	0.252639	0.28521288	0.242638	0.31008482	0.2988697	0.15718804	0.34589442	0.32054558	0.35325366	0.20625502	0.40842958	0.2273831	0.37151392	0.269277	0.28430302	0.2993416	0.40311884	0.28512122	0.21154424	0.1578433	0.19771496	0.35326272	0.26706488	0.3972534	0.33341016	0.21130132	0.19128878	0.3337194	0.28382308	0.36604468	0.28331546	0.2495451	0.27548152	0.27674686
CF3.141691	0.49825922	0.50776736	0.19938816	0.43227756	0.26430004	0.48966188	0.46086066	0.47035942	0.0	0.3610647	0.40614544	0.46768984	0.48057616	0.33691778	0.20973094	0.4473952	0.16576496	0.51643072	0.16575118	0.48706332	0.25019506	0.2822728	0.39599622	0.3178141	0.44334984	0.47482324	0.48094242	0.24914904	0.473088	0.37741426	0.45371888	0.33987492	0.40393372	0.25176404	0.23009562	0.41019392	0.35531896	0.22974006	0.23229312	0.45364234	0.07834998	0.52752682	0.23157864	0.4957321	0.54766798	0.50818514	0.4742754	0.34563732	0.47347338	0.30519664	0.49550284	0.55431304	0.51089256	0.26966832	0.45975248	0.27533594	0.54122134	0.525327	0.4620161	0.2188431	0.5138154	0.46918758	0.45317444	0.50619678	0.41783138	0.43712086	0.58354562	0.5455431	0.47440006	0.45236988	0.47876318	0.52675934	0.57374554	0.54551284	0.47644436	0.51498766	0.49360828
BZ1.141724	0.2545144	0.3535651	0.2594267	0.19939214	0.18264342	0.2869087	0.25753412	0.3292588	0.3610647	0.0	0.2915415	0.27463914	0.32751398	0.18315968	0.2427396	0.28265934	0.28476466	0.3371895	0.30315296	0.2567967	0.21551692	0.15633306	0.2121494	0.18630252	0.3250681	0.29292978	0.27081244	0.2555249	0.2957353	0.2144046	0.31463238	0.18809398	0.16886202	0.23819614	0.25130672	0.1832301	0.1696495	0.24822612	0.22462962	0.30961204	0.33694472	0.33020284	0.26476054	0.3228534	0.33779976	0.30013676	0.22592082	0.17935114	0.32282008	0.1936189	0.2644483	0.40178158	0.3310377	0.2533225	0.27752298	0.24857724	0.34889312	0.3338871	0.26210712	0.25610024	0.27881562	0.32994888	0.31001058	0.31718864	0.22406632	0.23575052	0.4341674	0.31899756	0.2927446	0.31440786	0.36326012	0.30346708	0.38154404	0.35038406	0.23880366	0.37746912	0.25443426
