	DF3.141696	HI3.141676	MD2.141689	CA1.141704	PE5.141692	CO1.141714	IT2.141720	PE1.141715	SP2.141678	CO3.141651	SA2.141687	CM1.141723	LQ2.141729	SR2.141673	CR1.141682	VC1.141722	IE2.141655	RT2.141710	BB1.141690	CC1.141721	TL2.141706	PE6.141700	BP1.141702	PE7.141734	BF1.141647	TL1.141653	KP1.141713	CL3.141664	SF2.141677	SF1.141728	PE4.141683	HI1.141693	SB1.141730	SK3.141716	SN1.141681	SA1.141670	GB2.141732	IE1.141648	CL1.141697	KP3.141658	MD5.141688	SR1.141680	HI2.141672	MT1.141719	TL3.141709	CO2.141657	MT2.141698	HF1.141663	CF2.141679	RT1.141654	GB1.141665	DF1.141684	SV1.141649	GB3.141652	CF1.141675	GB5.141668	LQ3.141712	DF2.141726	LQ1.141701	MD4.141660	IT1.141711	BF2.141708	SN3.141650	MP2.141695	AR3.141705	JT1.141699	BZ1.141724	HI4.141735	AR2.141703	SV2.141666	MD3.141707	HF2.141686	HJ2.141717	SR3.141674	CF3.141691	PE2.141725	SK2.141662	AR1.141727	BB2.141659	CA2.141685	HJ1.141718	PE3.141731	MP1.141661	SP1.141656	CL4.141667	KP4.141733	VC2.141694	CL2.141671	SK1.141669
DF3.141696	0.0	1.48	2.6	2.22	1.48	1.08	0.37	0.93	0.08	0.97	3.05	2.8	0.02	2.95	2.95	0.5	0.47	3.02	0.75	1.01	1.42	0.93	2.48	0.46	1.0	0.47	1.32	0.16	3.33	2.66	0.95	1.4	2.87	0.78	0.1	1.85	2.52	0.22	0.63	2.87	3.02	1.79	1.27	2.52	0.82	0.63	1.61	0.8	1.42	2.87	1.79	0.32	3.26	2.13	1.13	3.17	0.38	1.79	0.16	3.81	0.73	1.44	0.69	0.67	0.85	2.55	0.07	0.13	0.95	3.39	2.85	1.07	0.31	1.9	1.49	0.94	1.13	0.75	0.45	2.97	0.36	0.8	0.49	1.2	0.02	2.05	0.94	0.52	0.4
HI3.141676	1.48	0.0	1.12	0.74	2.96	0.4	1.11	2.41	1.4	0.51	1.57	1.32	1.5	1.47	1.47	0.98	1.01	1.54	2.23	0.47	0.06	2.41	1.0	1.02	2.48	1.95	0.16	1.64	1.85	1.18	2.43	0.08	1.39	0.7	1.58	0.37	1.04	1.26	0.85	1.39	1.54	0.31	0.21	1.04	2.3	0.85	0.13	2.28	2.9	1.39	0.31	1.16	1.78	0.65	2.61	1.69	1.86	0.31	1.64	2.33	0.75	2.92	0.79	2.15	0.63	1.07	1.41	1.61	0.53	1.91	1.37	2.55	1.17	0.42	2.97	2.42	0.35	0.73	1.93	1.49	1.12	2.28	1.97	0.28	1.5	0.57	0.54	0.96	1.08
MD2.141689	2.6	1.12	0.0	0.38	4.08	1.52	2.23	3.53	2.52	1.63	0.45	0.2	2.62	0.35	0.35	2.1	2.13	0.42	3.35	1.59	1.18	3.53	0.12	2.14	3.6	3.07	1.28	2.76	0.73	0.06	3.55	1.2	0.27	1.82	2.7	0.75	0.08	2.38	1.97	0.27	0.42	0.81	1.33	0.08	3.42	1.97	0.99	3.4	4.02	0.27	0.81	2.28	0.66	0.47	3.73	0.57	2.98	0.81	2.76	1.21	1.87	4.04	1.91	3.27	1.75	0.05	2.53	2.73	1.65	0.79	0.25	3.67	2.29	0.7	4.09	3.54	1.47	1.85	3.05	0.37	2.24	3.4	3.09	1.4	2.62	0.55	1.66	2.08	2.2
CA1.141704	2.22	0.74	0.38	0.0	3.7	1.14	1.85	3.15	2.14	1.25	0.83	0.58	2.24	0.73	0.73	1.72	1.75	0.8	2.97	1.21	0.8	3.15	0.26	1.76	3.22	2.69	0.9	2.38	1.11	0.44	3.17	0.82	0.65	1.44	2.32	0.37	0.3	2.0	1.59	0.65	0.8	0.43	0.95	0.3	3.04	1.59	0.61	3.02	3.64	0.65	0.43	1.9	1.04	0.09	3.35	0.95	2.6	0.43	2.38	1.59	1.49	3.66	1.53	2.89	1.37	0.33	2.15	2.35	1.27	1.17	0.63	3.29	1.91	0.32	3.71	3.16	1.09	1.47	2.67	0.75	1.86	3.02	2.71	1.02	2.24	0.17	1.28	1.7	1.82
PE5.141692	1.48	2.96	4.08	3.7	0.0	2.56	1.85	0.55	1.56	2.45	4.53	4.28	1.46	4.43	4.43	1.98	1.95	4.5	0.73	2.49	2.9	0.55	3.96	1.94	0.48	1.01	2.8	1.32	4.81	4.14	0.53	2.88	4.35	2.26	1.38	3.33	4.0	1.7	2.11	4.35	4.5	3.27	2.75	4.0	0.66	2.11	3.09	0.68	0.06	4.35	3.27	1.8	4.74	3.61	0.35	4.65	1.1	3.27	1.32	5.29	2.21	0.04	2.17	0.81	2.33	4.03	1.55	1.35	2.43	4.87	4.33	0.41	1.79	3.38	0.01	0.54	2.61	2.23	1.03	4.45	1.84	0.68	0.99	2.68	1.46	3.53	2.42	2.0	1.88
CO1.141714	1.08	0.4	1.52	1.14	2.56	0.0	0.71	2.01	1.0	0.11	1.97	1.72	1.1	1.87	1.87	0.58	0.61	1.94	1.83	0.07	0.34	2.01	1.4	0.62	2.08	1.55	0.24	1.24	2.25	1.58	2.03	0.32	1.79	0.3	1.18	0.77	1.44	0.86	0.45	1.79	1.94	0.71	0.19	1.44	1.9	0.45	0.53	1.88	2.5	1.79	0.71	0.76	2.18	1.05	2.21	2.09	1.46	0.71	1.24	2.73	0.35	2.52	0.39	1.75	0.23	1.47	1.01	1.21	0.13	2.31	1.77	2.15	0.77	0.82	2.57	2.02	0.05	0.33	1.53	1.89	0.72	1.88	1.57	0.12	1.1	0.97	0.14	0.56	0.68
IT2.141720	0.37	1.11	2.23	1.85	1.85	0.71	0.0	1.3	0.29	0.6	2.68	2.43	0.39	2.58	2.58	0.13	0.1	2.65	1.12	0.64	1.05	1.3	2.11	0.09	1.37	0.84	0.95	0.53	2.96	2.29	1.32	1.03	2.5	0.41	0.47	1.48	2.15	0.15	0.26	2.5	2.65	1.42	0.9	2.15	1.19	0.26	1.24	1.17	1.79	2.5	1.42	0.05	2.89	1.76	1.5	2.8	0.75	1.42	0.53	3.44	0.36	1.81	0.32	1.04	0.48	2.18	0.3	0.5	0.58	3.02	2.48	1.44	0.06	1.53	1.86	1.31	0.76	0.38	0.82	2.6	0.01	1.17	0.86	0.83	0.39	1.68	0.57	0.15	0.03
PE1.141715	0.93	2.41	3.53	3.15	0.55	2.01	1.3	0.0	1.01	1.9	3.98	3.73	0.91	3.88	3.88	1.43	1.4	3.95	0.18	1.94	2.35	0.0	3.41	1.39	0.07	0.46	2.25	0.77	4.26	3.59	0.02	2.33	3.8	1.71	0.83	2.78	3.45	1.15	1.56	3.8	3.95	2.72	2.2	3.45	0.11	1.56	2.54	0.13	0.49	3.8	2.72	1.25	4.19	3.06	0.2	4.1	0.55	2.72	0.77	4.74	1.66	0.51	1.62	0.26	1.78	3.48	1.0	0.8	1.88	4.32	3.78	0.14	1.24	2.83	0.56	0.01	2.06	1.68	0.48	3.9	1.29	0.13	0.44	2.13	0.91	2.98	1.87	1.45	1.33
SP2.141678	0.08	1.4	2.52	2.14	1.56	1.0	0.29	1.01	0.0	0.89	2.97	2.72	0.1	2.87	2.87	0.42	0.39	2.94	0.83	0.93	1.34	1.01	2.4	0.38	1.08	0.55	1.24	0.24	3.25	2.58	1.03	1.32	2.79	0.7	0.18	1.77	2.44	0.14	0.55	2.79	2.94	1.71	1.19	2.44	0.9	0.55	1.53	0.88	1.5	2.79	1.71	0.24	3.18	2.05	1.21	3.09	0.46	1.71	0.24	3.73	0.65	1.52	0.61	0.75	0.77	2.47	0.01	0.21	0.87	3.31	2.77	1.15	0.23	1.82	1.57	1.02	1.05	0.67	0.53	2.89	0.28	0.88	0.57	1.12	0.1	1.97	0.86	0.44	0.32
CO3.141651	0.97	0.51	1.63	1.25	2.45	0.11	0.6	1.9	0.89	0.0	2.08	1.83	0.99	1.98	1.98	0.47	0.5	2.05	1.72	0.04	0.45	1.9	1.51	0.51	1.97	1.44	0.35	1.13	2.36	1.69	1.92	0.43	1.9	0.19	1.07	0.88	1.55	0.75	0.34	1.9	2.05	0.82	0.3	1.55	1.79	0.34	0.64	1.77	2.39	1.9	0.82	0.65	2.29	1.16	2.1	2.2	1.35	0.82	1.13	2.84	0.24	2.41	0.28	1.64	0.12	1.58	0.9	1.1	0.02	2.42	1.88	2.04	0.66	0.93	2.46	1.91	0.16	0.22	1.42	2.0	0.61	1.77	1.46	0.23	0.99	1.08	0.03	0.45	0.57
