	MT2.141698	CA1.141704	BB2.141659	CO2.141657	TL3.141709	SN3.141650	SK2.141662	CR1.141682	CF3.141691	BZ1.141724	TL1.141653	GB3.141652	CM1.141723	CL1.141697	HF1.141663	PE7.141734	HF2.141686	GB2.141732	CF1.141675	IE2.141655	PE1.141715	MP2.141695	SN1.141681	DF3.141696	BP1.141702	SR1.141680	SP1.141656	LQ2.141729	VC2.141694	HJ1.141718	KP3.141658	HJ2.141717	SK3.141716	PE6.141700	PE4.141683	SK1.141669	MP1.141661	BF2.141708	BF1.141647	AR3.141705	CF2.141679	SA1.141670	LQ3.141712	AR1.141727	SR3.141674	MT1.141719	IT2.141720	CL3.141664	SF1.141728	SP2.141678	IE1.141648	MD2.141689	KP1.141713	PE5.141692	TL2.141706	HI4.141735	SB1.141730	HI3.141676	CL4.141667	PE3.141731	CO1.141714	RT1.141654	RT2.141710	KP4.141733	DF1.141684	CL2.141671	MD5.141688	IT1.141711	AR2.141703	CO3.141651	HI2.141672	DF2.141726	JT1.141699	GB1.141665	CC1.141721	SF2.141677	VC1.141722
MT2.141698	0.0	0.633372716499	0.681806912169	0.682458740374	0.71828613118	0.724806628815	0.676334563049	0.755592102494	0.726056765593	0.743253245654	0.701678130683	0.723405709421	0.732428537619	0.69954159793	0.781929854877	0.719802986644	0.670031653963	0.675901663947	0.812986636939	0.743433522399	0.663465828549	0.63347014664	0.722669292316	0.637023073003	0.674429968665	0.775403052507	0.66044650156	0.76917646743	0.721955284104	0.697809518734	0.596307358025	0.720485162105	0.691033640899	0.72891854487	0.752381135463	0.716082840684	0.706711719503	0.834042240918	0.687396274195	0.699952143607	0.628796327992	0.662635370153	0.792419082209	0.715734178422	0.699913308079	0.764396592886	0.815197740833	0.641564295673	0.628341781312	0.662490111275	0.591116548761	0.661378019934	0.676936881093	0.554561199632	0.601322859325	0.627779085237	0.666469583008	0.731407391182	0.746728974475	0.724665484603	0.764302927383	0.554952410016	0.696752521395	0.763090768924	0.718650502919	0.520080216917	0.631487688906	0.827098036714	0.70657314614	0.672557792912	0.676689895403	0.651857962166	0.794817819585	0.801381228321	0.626119951845	0.645229783977	0.753505787596
CA1.141704	0.633372716499	0.0	0.671938218014	0.658766056693	0.786326471624	0.699866137759	0.637506966794	0.739953395435	0.733359695372	0.69798582882	0.698575139895	0.750978599312	0.785407257395	0.65813608868	0.787443350419	0.774451629137	0.642377326541	0.735858984478	0.837320063487	0.754773504323	0.669421131806	0.676074798406	0.664407703643	0.630098615894	0.675065526735	0.810111921671	0.649054273784	0.783325978714	0.685237160733	0.678062459275	0.63062593102	0.802093609619	0.672000756971	0.794292127076	0.733282879514	0.676685981802	0.7427678449	0.842713041626	0.674610959746	0.690231809977	0.672512138225	0.658454251849	0.810080675605	0.757072995839	0.656629695543	0.801966385617	0.837044565955	0.607702359723	0.668847840365	0.669792687859	0.641626981384	0.665524904321	0.609777479343	0.620318553435	0.60819484597	0.611838934827	0.63157956678	0.77131560807	0.774214993307	0.736487138632	0.766384467403	0.623901447383	0.69109825395	0.781567979103	0.766206235167	0.664490015724	0.643136838829	0.837353308693	0.69285590226	0.674595044051	0.661501417319	0.605933132705	0.800216050864	0.83533369105	0.657757960437	0.688131700874	0.784432050216
BB2.141659	0.681806912169	0.671938218014	0.0	0.708928570094	0.767096231977	0.715646472106	0.54791748669	0.728288601761	0.7474156335	0.635788740883	0.740716481154	0.760863599319	0.813131715342	0.694752965114	0.701584219537	0.781646037335	0.670346817108	0.651855937447	0.834712886289	0.738160913689	0.703301083165	0.643247481759	0.666445560226	0.599981239423	0.689092598197	0.823057396979	0.638179440305	0.808266264357	0.690232065423	0.6681814162	0.632139601916	0.780139351571	0.639273360196	0.79406145742	0.741811877346	0.591581612652	0.64381334285	0.87432610868	0.727504166323	0.569862994887	0.652843139655	0.681009231245	0.804491910933	0.749712807783	0.684791975308	0.77367457977	0.844669078734	0.63932281713	0.650475942673	0.567841062562	0.654205330011	0.586515294428	0.646014313239	0.676257719456	0.630329837074	0.674713911835	0.642135744811	0.788935754035	0.762639120392	0.657197182074	0.661735291211	0.685518478328	0.573571900696	0.719239120668	0.793238990134	0.702108920727	0.714050737222	0.834785113291	0.708076206944	0.689798533136	0.686693373598	0.584718417716	0.798753037752	0.838286154993	0.632205540618	0.698790143755	0.658179044426
CO2.141657	0.682458740374	0.658766056693	0.708928570094	0.0	0.670028688676	0.59506762636	0.698343312799	0.604383655261	0.60126327767	0.725903235996	0.611617953821	0.614805933869	0.668859674009	0.635726559161	0.798856311307	0.672312344869	0.629049384807	0.682072096742	0.674162447688	0.658391763147	0.591793675006	0.720919494495	0.624046540029	0.676616025688	0.628997835814	0.666085959136	0.658958038133	0.67275690895	0.601389031051	0.669958308729	0.662867087215	0.647533638503	0.674060604231	0.656680458992	0.667148526205	0.699508288137	0.746929841613	0.712918351849	0.563561774363	0.714197527054	0.728333454851	0.625403091897	0.652932206683	0.615809991273	0.656344035187	0.64739935529	0.703679373489	0.632999038089	0.690370156721	0.693549627243	0.692916327831	0.693273661062	0.697042052825	0.661463455132	0.686988960095	0.637225870712	0.637166982921	0.697784026634	0.628697700639	0.70056615561	0.780635754823	0.687460263725	0.735032438717	0.725348360898	0.624394382674	0.674817647195	0.634501422485	0.687404018104	0.593733981327	0.654334930563	0.661513786207	0.655850794234	0.76690097101	0.718326131559	0.66094239762	0.652035311639	0.79980558759
TL3.141709	0.71828613118	0.786326471624	0.767096231977	0.670028688676	0.0	0.595242839005	0.781289134172	0.608077072754	0.58838276397	0.800028717498	0.67286479688	0.541209509056	0.619322658068	0.681721380256	0.79954133926	0.635563165611	0.750015427505	0.708413963655	0.678450758521	0.558858931696	0.616521494216	0.808249101673	0.718446940153	0.768641001292	0.761089651005	0.640873171371	0.665980960033	0.597548688229	0.688845424001	0.731064936463	0.741045611673	0.571543646161	0.766102842505	0.522018264444	0.604862644275	0.752660752964	0.785020811472	0.67141656164	0.708998847157	0.790890375961	0.79468225983	0.689715210709	0.653665417666	0.540086395629	0.73982117076	0.567470311282	0.606265271293	0.700165269238	0.76595871574	0.774881224555	0.781920585422	0.753265234783	0.76603356742	0.777554878874	0.76241309006	0.768874565756	0.70957793135	0.621618119676	0.508032893061	0.721707516043	0.818938895137	0.742137573494	0.769406110173	0.681663593599	0.636939695774	0.701906173162	0.718246377778	0.643365315885	0.611017098633	0.746081985598	0.705143323575	0.740634119429	0.685469777702	0.648461852604	0.704018513988	0.736115189102	0.818384242021
SN3.141650	0.724806628815	0.699866137759	0.715646472106	0.59506762636	0.595242839005	0.0	0.724021788604	0.487157866248	0.591555826248	0.748081777992	0.583807556924	0.559232377906	0.68866323918	0.557596604974	0.763287857905	0.670944896276	0.612187296937	0.636383707513	0.664310927521	0.541673731551	0.58316582145	0.766402038294	0.546033575778	0.695797327827	0.686347257979	0.637588955394	0.654492876306	0.639350987083	0.545238070325	0.59212958457	0.695091607803	0.617670646302	0.679578148387	0.61825148623	0.567070095581	0.698242359678	0.795638493426	0.706860874112	0.643488637046	0.722913973058	0.764234273184	0.642059250513	0.644291399574	0.584810403246	0.663875272829	0.608319379363	0.680689067641	0.641767345998	0.76177352303	0.708551620453	0.753406179634	0.699487954656	0.722947304087	0.74949163458	0.714516275157	0.711526869785	0.577550597127	0.716720996772	0.584410372279	0.658093719761	0.764543141499	0.729339221593	0.752590609161	0.612798112952	0.673783803603	0.708002335244	0.708848404934	0.67239725728	0.420685619994	0.668911338179	0.656916765367	0.655190021405	0.675647956966	0.715119295022	0.633761221263	0.6658091029	0.791555904325
SK2.141662	0.676334563049	0.637506966794	0.54791748669	0.698343312799	0.781289134172	0.724021788604	0.0	0.723762359114	0.75802079477	0.595989105892	0.742400732706	0.763231556762	0.817763951852	0.702547210291	0.718801520415	0.784380970094	0.644795557007	0.655643093619	0.85059365466	0.764298846136	0.704635022883	0.612499000458	0.666972515444	0.540085568675	0.699544582973	0.830952144308	0.647556908605	0.821784732511	0.701836491614	0.669096569172	0.617701907552	0.807862557002	0.641551120261	0.820854176147	0.748213065689	0.627053421511	0.619859360757	0.888307267868	0.721229643215	0.573570628263	0.632198788674	0.692890973738	0.830245819812	0.752557540261	0.672646637915	0.805975491153	0.871254309256	0.657912874148	0.625727432574	0.569223865187	0.63728293654	0.597582281264	0.619003298732	0.60632469801	0.615762905174	0.679822420102	0.661419619864	0.800007461727	0.787653390202	0.668365512637	0.648449912033	0.653864235116	0.582158587163	0.735301672902	0.80640762961	0.708134157663	0.705831813859	0.854508275848	0.734631324628	0.708049189364	0.689677438939	0.570517448432	0.812592569213	0.852747149815	0.637272509117	0.711471334309	0.686399200603
CR1.141682	0.755592102494	0.739953395435	0.728288601761	0.604383655261	0.608077072754	0.487157866248	0.723762359114	0.0	0.580463713295	0.737697885488	0.579824563629	0.592785302934	0.688147801477	0.558805433879	0.757081612647	0.650675895164	0.607379183764	0.610234843768	0.662677098668	0.596836885374	0.638052587844	0.771260560132	0.604691207198	0.694868688062	0.700610350999	0.698837565726	0.692481791413	0.638774092157	0.528568528421	0.618776509347	0.696518184205	0.66184830436	0.678140769177	0.650324460513	0.621973143935	0.670034220113	0.793592144666	0.716625027433	0.637560442892	0.722192260605	0.784087437529	0.688391017146	0.678608093017	0.574677666212	0.654962631714	0.57670030508	0.718127479006	0.702592895846	0.756279075437	0.722982024321	0.755647772745	0.711969767812	0.737578268904	0.754802251284	0.722397403993	0.72258074314	0.613453198033	0.677418359672	0.63566667384	0.64306140939	0.770212676196	0.735566236418	0.732183651864	0.561363074094	0.679462715213	0.745730505547	0.735374794057	0.646164226949	0.557448773753	0.689960912544	0.703462474396	0.686901792838	0.726042942719	0.712587602549	0.662062512459	0.667556224204	0.794103080799
CF3.141691	0.726056765593	0.733359695372	0.7474156335	0.60126327767	0.58838276397	0.591555826248	0.75802079477	0.580463713295	0.0	0.78571241242	0.576781207626	0.536785019712	0.642515707129	0.628221092985	0.797082089844	0.638827153174	0.673873081997	0.700002730301	0.61148908656	0.543481777647	0.597268931004	0.788591441473	0.650562129095	0.739925146104	0.711321015235	0.677416397043	0.700708786196	0.617515764281	0.647237514114	0.675160106858	0.748760214145	0.547596128437	0.702543391161	0.581966793072	0.609786293613	0.733647990049	0.815181901574	0.655282597918	0.650256715598	0.772514804469	0.809820204783	0.661632842579	0.587602060471	0.595945367554	0.705535082668	0.588381964601	0.640152271273	0.705850689304	0.772761841083	0.75347834544	0.759325830066	0.758776839262	0.766164363589	0.771984238721	0.74923164675	0.724313724086	0.656026631801	0.634432294411	0.542321674414	0.679043739677	0.791630530361	0.74053272389	0.769960586641	0.656024657861	0.639234116056	0.738317305452	0.739287694597	0.64767966436	0.598826077446	0.701001732307	0.713956216978	0.702487920437	0.709208608304	0.69017060423	0.699565782816	0.699766705266	0.810037304681
BZ1.141724	0.743253245654	0.69798582882	0.635788740883	0.725903235996	0.800028717498	0.748081777992	0.595989105892	0.737697885488	0.78571241242	0.0	0.76748481807	0.778341140334	0.813531895451	0.719090463059	0.676180792262	0.797602439106	0.706339239166	0.667555300666	0.832354869493	0.776526652289	0.744395341089	0.62336276787	0.691027079308	0.622356753674	0.721311356588	0.84245753458	0.724432031374	0.829995954955	0.704036627445	0.676506465173	0.67660349476	0.817650699775	0.655181469635	0.824706827504	0.751464296904	0.664379000305	0.602397181736	0.878043417414	0.731773301766	0.546907832326	0.63028752781	0.731782077174	0.8277051693	0.761222833579	0.704128502664	0.791532222762	0.867818704287	0.718368142769	0.63293870621	0.576760648687	0.645648018526	0.606115722633	0.699408484092	0.646863531162	0.675388404964	0.67354677407	0.700521015638	0.807142072061	0.78047214457	0.656384616331	0.611189386183	0.706065862944	0.563987407416	0.738560554736	0.811199273974	0.737876733091	0.734153033752	0.861968388955	0.758373030889	0.701839526896	0.75117102601	0.648923366347	0.811416220893	0.843913055883	0.683393603285	0.701378423054	0.606148903652
