# Constructed from biom file
#OTU ID	SCSL1	SCSL2	SCSL3	HNSPL21	LDL37	LDL38	MGLL6	SCBL22	SCBL23	SCBL24	SCML31	SCML32	SCML33	SCQGL34	SCQGL35	SCSPL12	SCSPL13	SCSPL14	SXBL40	SXBL41	SXBL42	SXSPL17	SXSPL18	WHSPL27	WHSPL28	WHSPL29	LDL39	SXSPL16	HNSPL19	MGLL4	SCQGL36	HNSPL20	MGLL5
otu00001	272.0	760.0	122.0	1392.0	3675.0	382.0	186.0	8384.0	735.0	863.0	12468.0	12359.0	12074.0	196.0	78.0	11785.0	4886.0	395.0	34.0	22.0	12450.0	19.0	12.0	9556.0	63.0	631.0	164.0	22.0	30.0	50.0	41.0	27.0	6.0
otu00002	9.0	2.0	2.0	7806.0	221.0	428.0	54.0	20.0	9.0	33.0	18.0	78.0	44.0	3.0	1868.0	478.0	1464.0	8292.0	1.0	0.0	0.0	12468.0	4401.0	646.0	5105.0	2672.0	140.0	8146.0	10459.0	201.0	5.0	9716.0	2.0
otu00003	4.0	5.0	4.0	10.0	18.0	6.0	7.0	1217.0	7012.0	3982.0	37.0	14.0	136.0	2228.0	1391.0	28.0	3.0	3.0	7248.0	6083.0	127.0	1.0	2.0	68.0	269.0	2714.0	43.0	3300.0	7.0	0.0	2293.0	4.0	0.0
otu00004	8520.0	1164.0	6670.0	2079.0	16.0	15.0	65.0	122.0	2.0	1342.0	30.0	37.0	0.0	8.0	11.0	0.0	367.0	0.0	56.0	1.0	0.0	0.0	0.0	483.0	3.0	7.0	803.0	0.0	2.0	51.0	39.0	0.0	56.0
otu00005	3375.0	7700.0	2291.0	309.0	349.0	2919.0	171.0	102.0	19.0	1432.0	1.0	47.0	1.0	10.0	12.0	1.0	37.0	1.0	110.0	12.0	11.0	0.0	0.0	91.0	7.0	19.0	3461.0	2.0	0.0	1034.0	19.0	0.0	80.0
otu00006	81.0	112.0	21.0	0.0	162.0	11.0	3412.0	23.0	26.0	0.0	0.0	0.0	0.0	2.0	4.0	0.0	0.0	0.0	356.0	1218.0	2.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	325.0	2.0	0.0	9175.0
otu00007	5.0	152.0	439.0	15.0	144.0	99.0	64.0	10.0	31.0	821.0	0.0	0.0	0.0	10.0	26.0	5.0	2923.0	18.0	17.0	12.0	3.0	17.0	8048.0	0.0	0.0	4.0	17.0	116.0	54.0	89.0	27.0	53.0	12.0
otu00008	0.0	0.0	2.0	420.0	478.0	1027.0	13.0	4.0	2.0	29.0	4.0	25.0	24.0	10.0	5166.0	231.0	1335.0	2950.0	6.0	5.0	5.0	63.0	25.0	1137.0	5266.0	4001.0	241.0	32.0	56.0	25.0	5.0	47.0	1.0
otu00009	14.0	25.0	9.0	0.0	2226.0	752.0	563.0	28.0	19.0	34.0	1.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	37.0	18.0	5.0	0.0	0.0	0.0	0.0	3.0	7087.0	6.0	0.0	1158.0	2.0	1.0	280.0
otu00010	1.0	0.0	0.0	0.0	13.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7385.0	663.0	0.0	0.0	0.0	2.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	2306.0	0.0	0.0
